date,pair,strategy,signal,pnl
2024-10-10,BAC-C,ou_baseline,-1,-0.001
2024-10-24,BAC-C,ou_baseline,0,-0.0095480175629677
2024-11-13,BAC-C,ou_baseline,1,-0.001
2024-12-24,BAC-C,ou_baseline,0,-0.006236733375792814
2025-01-16,BAC-C,ou_baseline,-1,-0.001
2025-03-10,BAC-C,ou_baseline,0,0.02191079029215643
2025-04-08,BAC-C,ou_baseline,1,-0.001
2025-06-30,BAC-C,ou_baseline,0,-0.004455140965041777
2025-07-15,BAC-C,ou_baseline,-1,-0.001
2025-09-17,BAC-C,ou_baseline,0,-0.011043614468832008
2025-10-01,BAC-C,ou_baseline,1,-0.001
2025-11-10,BAC-C,ou_baseline,0,-0.002784708713920098
2024-07-25,BAC-GS,ou_baseline,1,-0.001
2024-08-06,BAC-GS,ou_baseline,0,-0.0118354396543475
2024-10-24,BAC-GS,ou_baseline,1,-0.001
2024-12-06,BAC-GS,ou_baseline,0,-0.004741887393540727
2025-01-24,BAC-GS,ou_baseline,-1,-0.001
2025-03-11,BAC-GS,ou_baseline,0,0.00431307499850134
2025-07-08,BAC-GS,ou_baseline,-1,-0.001
2025-09-08,BAC-GS,ou_baseline,0,0.007810332996260814
2024-07-18,BAC-JPM,ou_baseline,1,-0.001
2024-07-30,BAC-JPM,ou_baseline,0,-0.01741954321347475
2024-08-15,BAC-JPM,ou_baseline,-1,-0.001
2024-10-03,BAC-JPM,ou_baseline,0,-0.007229584165408695
2025-01-22,BAC-JPM,ou_baseline,-1,-0.001
2025-03-12,BAC-JPM,ou_baseline,0,-0.011152224558927653
2025-04-09,BAC-JPM,ou_baseline,1,-0.001
2025-05-28,BAC-JPM,ou_baseline,0,0.0021978316716234313
2025-07-25,BAC-JPM,ou_baseline,-1,-0.001
2025-09-04,BAC-JPM,ou_baseline,0,0.00041084444370739163
2025-11-21,BAC-JPM,ou_baseline,-1,-0.001
2025-12-18,BAC-JPM,ou_baseline,0,-0.0011026968433153319
2024-10-04,BAC-MS,ou_baseline,-1,-0.001
2024-11-27,BAC-MS,ou_baseline,0,-0.0017168252405024426
2025-01-13,BAC-MS,ou_baseline,1,-0.001
2025-01-28,BAC-MS,ou_baseline,0,-0.015627326627887544
2025-07-31,BAC-MS,ou_baseline,-1,-0.001
2025-09-08,BAC-MS,ou_baseline,0,0.008850351218657997
2025-12-10,BAC-MS,ou_baseline,-1,-0.001
2024-10-01,C-GS,ou_baseline,1,-0.001
2024-11-06,C-GS,ou_baseline,0,-0.02345031722940663
2025-01-23,C-GS,ou_baseline,1,-0.001
2025-03-12,C-GS,ou_baseline,0,-0.0033025929429450285
2025-07-01,C-GS,ou_baseline,-1,-0.001
2025-07-23,C-GS,ou_baseline,0,0.0022475953678558975
2025-08-04,C-GS,ou_baseline,1,-0.001
2025-09-19,C-GS,ou_baseline,0,0.0006815483800556308
2025-10-03,C-GS,ou_baseline,-1,-0.001
2025-11-28,C-GS,ou_baseline,0,-0.001883333720485803
2025-12-22,C-GS,ou_baseline,1,-0.001
2024-08-23,C-JPM,ou_baseline,-1,-0.001
2024-09-26,C-JPM,ou_baseline,0,-0.02423925616014259
2024-12-27,C-JPM,ou_baseline,1,-0.001
2025-02-20,C-JPM,ou_baseline,0,0.02068791023317372
2025-07-22,C-JPM,ou_baseline,1,-0.001
