date,pair,zscore
2024-01-16,BAC-C,
2024-01-17,BAC-C,
2024-01-18,BAC-C,
2024-01-19,BAC-C,
2024-01-22,BAC-C,
2024-01-23,BAC-C,
2024-01-24,BAC-C,
2024-01-25,BAC-C,
2024-01-26,BAC-C,
2024-01-29,BAC-C,
2024-01-30,BAC-C,
2024-01-31,BAC-C,
2024-02-01,BAC-C,
2024-02-02,BAC-C,
2024-02-05,BAC-C,
2024-02-06,BAC-C,
2024-02-07,BAC-C,
2024-02-08,BAC-C,
2024-02-09,BAC-C,
2024-02-12,BAC-C,
2024-02-13,BAC-C,
2024-02-14,BAC-C,
2024-02-15,BAC-C,
2024-02-16,BAC-C,
2024-02-20,BAC-C,
2024-02-21,BAC-C,
2024-02-22,BAC-C,
2024-02-23,BAC-C,
2024-02-26,BAC-C,
2024-02-27,BAC-C,
2024-02-28,BAC-C,
2024-02-29,BAC-C,
2024-03-01,BAC-C,
2024-03-04,BAC-C,
2024-03-05,BAC-C,
2024-03-06,BAC-C,
2024-03-07,BAC-C,
2024-03-08,BAC-C,
2024-03-11,BAC-C,
2024-03-12,BAC-C,
2024-03-13,BAC-C,
2024-03-14,BAC-C,
2024-03-15,BAC-C,
2024-03-18,BAC-C,
2024-03-19,BAC-C,
2024-03-20,BAC-C,
2024-03-21,BAC-C,
2024-03-22,BAC-C,
2024-03-25,BAC-C,
2024-03-26,BAC-C,
2024-03-27,BAC-C,
2024-03-28,BAC-C,
2024-04-01,BAC-C,
2024-04-02,BAC-C,
2024-04-03,BAC-C,
2024-04-04,BAC-C,
2024-04-05,BAC-C,
2024-04-08,BAC-C,
2024-04-09,BAC-C,
2024-04-10,BAC-C,
2024-04-11,BAC-C,
2024-04-12,BAC-C,
2024-04-15,BAC-C,
2024-04-16,BAC-C,
2024-04-17,BAC-C,
2024-04-18,BAC-C,
2024-04-19,BAC-C,
2024-04-22,BAC-C,
2024-04-23,BAC-C,
2024-04-24,BAC-C,
2024-04-25,BAC-C,
2024-04-26,BAC-C,
2024-04-29,BAC-C,
2024-04-30,BAC-C,
2024-05-01,BAC-C,
2024-05-02,BAC-C,
2024-05-03,BAC-C,
2024-05-06,BAC-C,
2024-05-07,BAC-C,
2024-05-08,BAC-C,
2024-05-09,BAC-C,
2024-05-10,BAC-C,
2024-05-13,BAC-C,
2024-05-14,BAC-C,
2024-05-15,BAC-C,
2024-05-16,BAC-C,
2024-05-17,BAC-C,
2024-05-20,BAC-C,
2024-05-21,BAC-C,
2024-05-22,BAC-C,
2024-05-23,BAC-C,
2024-05-24,BAC-C,
2024-05-28,BAC-C,
2024-05-29,BAC-C,
2024-05-30,BAC-C,
2024-05-31,BAC-C,
2024-06-03,BAC-C,
2024-06-04,BAC-C,
2024-06-05,BAC-C,
2024-06-06,BAC-C,
2024-06-07,BAC-C,
2024-06-10,BAC-C,
2024-06-11,BAC-C,
2024-06-12,BAC-C,
2024-06-13,BAC-C,
2024-06-14,BAC-C,
2024-06-17,BAC-C,
2024-06-18,BAC-C,
2024-06-20,BAC-C,
2024-06-21,BAC-C,
2024-06-24,BAC-C,
2024-06-25,BAC-C,
2024-06-26,BAC-C,
2024-06-27,BAC-C,
2024-06-28,BAC-C,
2024-07-01,BAC-C,
2024-07-02,BAC-C,
2024-07-03,BAC-C,
2024-07-05,BAC-C,0.48312151798787534
2024-07-08,BAC-C,0.472707751538336
2024-07-09,BAC-C,0.46279607137475715
2024-07-10,BAC-C,0.6168294334081114
2024-07-11,BAC-C,0.6580236632509902
2024-07-12,BAC-C,1.284631423656711
2024-07-15,BAC-C,1.7102912462941549
2024-07-16,BAC-C,1.2607063109997416
2024-07-17,BAC-C,0.42744718935521164
2024-07-18,BAC-C,0.08378960977685201
2024-07-19,BAC-C,-0.38302504336243187
2024-07-22,BAC-C,-0.6543420663662365
2024-07-23,BAC-C,-0.8451137009725372
2024-07-24,BAC-C,-0.8987280251557628
2024-07-25,BAC-C,-0.9694989195054047
2024-07-26,BAC-C,-0.7731086395162414
2024-07-29,BAC-C,-0.41087860349938904
2024-07-30,BAC-C,0.042606842455225113
2024-07-31,BAC-C,0.46863491077826713
2024-08-01,BAC-C,0.5456640276939781
2024-08-02,BAC-C,0.6027196638887746
2024-08-05,BAC-C,0.4429130401023658
2024-08-06,BAC-C,0.25438154895232024
2024-08-07,BAC-C,0.37947174299842923
2024-08-08,BAC-C,0.33998040860417855
2024-08-09,BAC-C,0.3246591810966009
2024-08-12,BAC-C,0.1547527473105065
2024-08-13,BAC-C,0.07041138647466125
2024-08-14,BAC-C,-0.10745134248286814
2024-08-15,BAC-C,-0.25693132490939713
2024-08-16,BAC-C,-0.5234591052322318
2024-08-19,BAC-C,-0.6123138776324859
2024-08-20,BAC-C,-0.745334669742999
2024-08-21,BAC-C,-0.8189275124307798
2024-08-22,BAC-C,-0.7678118463000037
2024-08-23,BAC-C,-0.7624831781616448
2024-08-26,BAC-C,-0.6981045461428781
2024-08-27,BAC-C,-0.714359423450251
2024-08-28,BAC-C,-0.6798652397899337
2024-08-29,BAC-C,-0.680342435076579
2024-08-30,BAC-C,-0.6845392998382208
2024-09-03,BAC-C,-0.6382401889950434
2024-09-04,BAC-C,-0.6387525613533888
2024-09-05,BAC-C,-0.6847414478401905
2024-09-06,BAC-C,-0.7885735515541189
2024-09-09,BAC-C,-0.7150371621275985
2024-09-10,BAC-C,-0.3034954029439192
2024-09-11,BAC-C,0.016108741972665774
2024-09-12,BAC-C,0.2601612231338942
2024-09-13,BAC-C,0.39587541184967123
2024-09-16,BAC-C,0.5536359007276643
2024-09-17,BAC-C,0.676019270413268
2024-09-18,BAC-C,0.7659531402619246
2024-09-19,BAC-C,0.7749557664051434
2024-09-20,BAC-C,0.8395761073268511
2024-09-23,BAC-C,0.8556293040781888
2024-09-24,BAC-C,0.8022630891762808
2024-09-25,BAC-C,0.7873605373446028
2024-09-26,BAC-C,0.6513695520323943
2024-09-27,BAC-C,0.5651272228307027
2024-09-30,BAC-C,0.507136296568995
2024-10-01,BAC-C,0.3394001099658767
2024-10-02,BAC-C,0.037161666435791066
2024-10-03,BAC-C,-0.2588920843184745
2024-10-04,BAC-C,-0.23582274535344436
2024-10-07,BAC-C,-0.10768223236951445
2024-10-08,BAC-C,0.13579468838823724
2024-10-09,BAC-C,1.3221826843724083
2024-10-10,BAC-C,2.328021577839561
2024-10-11,BAC-C,2.7255110035782346
2024-10-14,BAC-C,2.883997583868169
2024-10-15,BAC-C,2.9211678791435416
2024-10-16,BAC-C,2.5623531635963714
2024-10-17,BAC-C,2.253295281212022
2024-10-18,BAC-C,2.051970432173815
2024-10-21,BAC-C,1.9165472127194603
2024-10-22,BAC-C,1.4814653225930625
2024-10-23,BAC-C,0.9419575259131665
2024-10-24,BAC-C,0.2481451566626602
2024-10-25,BAC-C,-0.1060123181052854
2024-10-28,BAC-C,-0.241023328203489
2024-10-29,BAC-C,-0.08082314894215248
2024-10-30,BAC-C,0.1364664548547354
2024-10-31,BAC-C,0.1562726779289445
2024-11-01,BAC-C,0.19393953590572693
2024-11-04,BAC-C,0.21675171007908603
2024-11-05,BAC-C,0.25585493842359086
2024-11-06,BAC-C,-0.5077500911951555
2024-11-07,BAC-C,-0.9116223231172665
2024-11-08,BAC-C,-1.2115750193538002
2024-11-11,BAC-C,-1.616400038400835
2024-11-12,BAC-C,-1.9527556443721683
2024-11-13,BAC-C,-2.104698762669283
2024-11-14,BAC-C,-2.219075093393767
2024-11-15,BAC-C,-2.453899324979989
2024-11-18,BAC-C,-2.6237579124656256
2024-11-19,BAC-C,-2.6625460499276943
2024-11-20,BAC-C,-2.6153560087882584
2024-11-21,BAC-C,-2.5621787244127665
2024-11-22,BAC-C,-2.5071499195809546
2024-11-25,BAC-C,-2.45076588935526
2024-11-26,BAC-C,-2.431027697646296
2024-11-27,BAC-C,-2.438869797043845
2024-11-29,BAC-C,-2.3755615991347954
2024-12-02,BAC-C,-2.2347139742923905
2024-12-03,BAC-C,-2.0989197660081436
2024-12-04,BAC-C,-2.058976813393935
2024-12-05,BAC-C,-2.048029430312727
2024-12-06,BAC-C,-2.0350417031982304
2024-12-09,BAC-C,-1.9699187356460237
2024-12-10,BAC-C,-1.8475325342716147
2024-12-11,BAC-C,-1.7323294196321213
2024-12-12,BAC-C,-1.6423088418481637
2024-12-13,BAC-C,-1.5122334160381152
2024-12-16,BAC-C,-1.3720423066773497
